Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,frère,brother
10,10,car,because
11,11,mettre,to put
13,13,laisse,leash
14,14,eux,them
15,15,ville,city
16,16,chaque,each
17,17,parlé,speak
18,18,arrivé,come
19,19,devrait,should
20,20,bébé,baby
21,21,longtemps,long time
22,22,heures,hours
23,23,vont,will
24,24,pendant,while
25,25,revoir,meet again
26,26,aucune,any
27,28,parle,speak
28,29,compris,understood
29,30,savais,knew
31,32,attention,Warning
32,33,voici,here is
33,34,pourrais,could
34,35,affaire,case
35,36,donner,give
36,37,type,type
37,38,leurs,their
38,39,donné,given
39,40,train,train
40,41,corps,body
41,42,endroit,place
42,43,yeux,eyes
43,44,façon,way
44,45,écoute,listen
45,46,dont,whose
46,47,trouve,find
47,48,premier,first
49,50,main,hand
50,51,première,first
51,52,côté,side
52,53,pouvoir,power
53,54,vieux,old
54,55,sois,be
55,56,tiens,here
56,57,matin,morning
57,58,tellement,so much
58,59,enfant,child
59,60,point,point
60,61,venu,came
61,62,suite,after
62,63,pardon,sorry
63,64,venez,come
64,65,devant,in front of
65,66,vers,towards
66,67,minutes,minutes
67,68,demandé,request
68,69,chambre,bedroom
69,70,mis,placed
70,71,belle,beautiful
71,72,droit,law
72,73,aimerais,would like to
73,74,aujourd'hui,today
74,75,mari,husband
75,76,cause,cause
76,77,enfin,finally
77,78,espère,hope
78,79,eau,water
79,80,attendez,Wait
80,81,parti,left
81,82,nouvelle,new
82,83,boulot,job
83,84,arrêter,Stop
84,85,dirait,would say
85,86,terre,Earth
86,87,compte,account
87,88,donne,given
88,89,loin,far
89,90,fin,end
90,91,croire,believe
91,92,chérie,sweetheart
93,94,plutôt,rather
94,95,aura,will have
95,96,filles,girls
96,97,jouer,to play
97,98,bureau,office
